id,en,fr,de,pt-BR,zh-CN
help_batteries_title,Батареи,Batteries,Batterien,Baterias,电池
help_cancelLockdown,"Используй эту кнопку, чтобы отменить блокировку",Utilise ce bouton pour mettre fin au confinement,Mit dieser Taste kannst du den Lockdown aufheben.,Use este botão para cancelar o bloqueio,使用此按钮取消封锁
help_catheads_1,Индикатор кошачьей головы в верхнем углу<BR>показывает текущее состояние кота.,L'indicateur de tête de chat dans le coin supérieur<BR>indique l'état actuel du chat.,Der Katzenportrait-Indikator in der oberen Ecke<BR>zeigt den aktuellen Zustand der Katze.,O indicador de cabeça de gato no canto superior<BR>mostra o estado atual da gata.,上方角落的猫头指示器<BR>会显示猫咪的当前状态。
help_catheads_2,Следи за индикатором кошачьей головы в верхнем углу экрана — он показывает текущее квантовое состояние твоего кота.,Garde un œil sur l'indicateur de tête de chat situé dans le coin supérieur de l'écran. Il t’indiquera l'état quantique actuel de ton chat.,Behalte den Katzenportrait-Indikator in der oberen Ecke des Bildschirms im Auge – er zeigt dir den aktuellen Quantenzustand deiner Katze an.,Fique atento ao indicador de cabeça de gato no canto superior da tela – ele mostra o estado quântico atual da sua gata.,请留意上方角落的猫头指示器——它会显示猫咪当前的量子状态。
help_catheads_noObs_title,Индикатор состояния — наблюдение,Indicateur d’Etat - Observation,Zustandsindikator - Beobachtung,Indicador de Estado - Observação,状态指示器：观察
help_catheads_title,Индикатор состояния — квантовое,Indicateur d'État - Quantique,Zustandsindikator – Quantenmechanik,Indicador de estado - Quantum,状态指示器：量子
help_checkpoints_1,"Постой под<BR>этой «лампой дневного света»<BR>немного,<BR>чтобы сохранить прогресс.",Va sous <BR>cette « lampe à lumière du jour » <BR>pendant un court instant <BR>pour sauvegarder ta progression.,Stell dich <BR>für eine kurze Zeit<BR>unter diese 'Tageslichtlampe'<BR>um deinen Fortschritt zu speichern.,Fique embaixo<BR>desta "lâmpada de luz do dia"<BR>por um instante<BR>para salvar seu progresso.,在这盏“日光灯”下方停留片刻<BR>即可记录你的进度。
help_checkpoints_title,Контрольные точки,Points de sauvegarde,Speicherpunkt,Ponto de salvamento,存档点
help_chests_1,В этих сундуках лежат чипы данных.<BR>Некоторые открываются одной батареей.<BR>Некоторым нужно две.<BR>Эти сундуки — для перфекционистов!<BR>Если батареи нет — не беда.,Ces coffres contiennent des puces de données. <BR>Certains peuvent être déverrouillés avec une seule batterie. <BR>D'autres nécessitent deux batteries. <BR>Ces coffres sont destinés aux joueurs qui veulent tout collectionner ! <BR>Si tu ne trouves pas de batterie, ne t'inquiète pas.,Diese Truhen enthalten Datenchips.<BR>Manche davon können mit einer Batterie geöffnet werden.<BR>Manche brauchen zwei Batterien.<BR>Diese Truhen sind für Komplettisten gedacht!<BR>Mach dir keine Sorgen, wenn du keine Batterie finden kannst.,Esses baús contêm chips de dados.<BR>Alguns podem ser desbloqueados com uma bateria.<BR>Outros requerem duas baterias.<BR>Esses baús são para quem quer completar tudo!<BR>Se você não conseguir encontrar uma bateria, não se preocupe.,这些宝箱里装着数据芯片。<BR>有些宝箱只需一节电池即可解锁。<BR>有些需要两节电池。<BR>这些宝箱是为想要全收集的玩家准备的！<BR>如果找不到电池，也不用担心。
help_chests_title,Сундуки с данными,Coffres de Données,Datenschatzkisten,Baús de dados,数据箱
help_customisationbooth_1,"Запрыгни в кабинку обоими котами,<BR>чтобы сменить шляпу и цвет шерсти",Fais sauter les deux chats dans la cabine <BR>pour changer de chapeau et de couleur de fourrure,Lass beide Katzen in die Kabine springen<BR>um die Farbe von Hüten und Fell zu wechseln,Coloque as duas gatas na cabine<BR>para mudar chapéus e cor do pelo,让两只猫一起跳进舱内<BR>以更换帽子和毛色
help_customisationBooth_2,(В меню кастомизации...),(Dans le menu de Personnalisation...),(Im Individualisierungsmenü...),(No menu de personalização...),（在自定义菜单中……）
help_customisationBooth_split_title,Кабинка кастомизации (раздельно),Cabine de Personnalisation (Divisé),Individualisierungskabine (Geteilt),Cabine de personalização (Dividida),自定义舱（分体）
help_customisationBooth_subtext,"В этих кабинках кастомизации удобно тратить <B>Ф-Баксы</B> на новые шляпы и ошейники.<BR>Если найдёшь более <B>экзотические</B> предметы, ими можно сменить цвет и густоту шерсти!<BR>Кабинки также сохраняют прогресс при подходе.",Ces cabines de personnalisation sont l'endroit idéal pour dépenser tes <B>F-Bucks</B> pour de nouveaux chapeaux et colliers. <BR>Si tu trouves des objets de collection plus <B>exotiques</B>, ils peuvent être utilisés pour changer la couleur et l'épaisseur de ta fourrure ! <BR>Ces cabines te permettront également de sauvegarder ta progression lors de ton approche.,Diese Individualisierungskabinen sind ein toller Ort, um deine <B>F-Kohle</B> für neue Hüte und Halsbänder auszugeben.<BR>Wenn du <B>exotischere</B> Sammelobjekte findest, kannst du damit die Farbe und Dichte deines Fells verändern!<BR>Diese Kabinen speichern auch deinen Fortschritt, wenn du in ihre Nähe kommst.,Essas cabines de personalização são um ótimo lugar para gastar seus <B>F-Bucks</B> em novos chapéus e coleiras.<BR>Se você encontrar colecionáveis mais <B>exóticos</B>, eles podem ser usados para mudar a cor e a densidade do seu pelo!<BR>Essas cabines também salvam seu progresso quando você se aproxima.,这些自定义舱是使用<B>福币</B>购买新帽子和项圈的好地方。<BR>如果你找到了更<B>稀有</B>的收藏品，它们还能用来改变毛色和毛发厚度！<BR>当你靠近时，这些舱室也会自动保存进度。
help_customisationBooth_subtext_2,"Котов можно кастомизировать по отдельности — нажми $Skip, чтобы переключаться между настройкой одного кота или сразу обоих",Tu peux personnaliser tes chats séparément. Appuie sur $Skip pour basculer entre la personnalisation de l'un des chats ou des deux chats à la fois,Du kannst deine Katzen separat individualisieren – drücke $Skip, um zwischen der Individualisierung einer Katze oder beiden Katzen gleichzeitig umzuschalten,Você pode personalizar suas gatas separadamente - pressione $Skip para alternar entre personalizar apenas uma gata ou ambas de uma vez.,两只猫咪都能单独自定义。轻按$Skip可切换为单独或同时自定义猫咪。
help_customisationBooth_title,Кабинка кастомизации,Cabine de Personnalisation,Individualisierungskabine,Cabine de Personalização,自定义舱
help_deprint_1,Это поле «де-печатает» любой касающийся его предмет.,Dans ce champ, tout élément qu'il touche sera « déimprimé ».,Dieses Feld lässt jedes berührte Element 'deprinten'.,Este campo “desimprime” qualquer item que tocar nele.,该力场会使接触到的任何物品“去印化”（取消打印）。
help_deprint_subtext,"Есть способ протащить предметы мимо этих полей.<BR>Догадаешься, как?",Il existe un moyen de faire passer des objets à travers ces champs. <BR>Peux-tu trouver comment ?,Es gibt eine Möglichkeit, Gegenstände an diesen Feldern vorbeizuschmuggeln.<BR>Kannst du herausfinden, wie?,Existe uma maneira de passar itens despercebidos por esses campos.<BR>Consegue descobrir como?,有一个方法能让物品绕过这些力场。<BR>你能想出方法吗？
help_deprintField_title,Поле де-печати,Champ de Déimpression,Deprintfeld,Campo de Desimpressão,去印力场
help_draggables,"Такие вещи, как тележки, можно тянуть, если ухватиться за них зубами.",Les objets comme des chariots peuvent être tirés, à condition de pouvoir les mordre.,Dinge wie Rollwagen lassen sich ziehen, wenn du dich an ihnen festbeißen kannst.,Objetos como carrinhos podem ser arrastados se você conseguir mordê-los.,像手推车之类的物体，如果你能咬住它们，就可以拖动。
help_dragging_title,Перетаскивание,Déplacement d'objets,Ziehen,Arrastar,拖拽
help_emotes,"Можешь делать милые анимации, когда захочешь.<BR>Удерживай $Emote1 или $Emote2 и используй $Movement2 или $Movement1, чтобы выбрать анимацию.<BR>Нажимай $Action1 или $Action2, чтобы мяукнуть, когда рот свободен.<BR>Удерживай кнопку, чтобы замурлыкать.",Tu peux faire de jolies animations quand tu veux.<BR>Maintiens $Emote1 ou $Emote2 enfoncé et utilise $Movement2 ou $Movement1 pour choisir l'animation.<BR>Tu peux appuyer sur $Action1 ou $Action2 pour miauler quand ton chat n’a rien dans la bouche.<BR>Maintiens le bouton enfoncé pour ronronner.,Du kannst jederzeit niedliche Animationen ausführen.<BR>Halte $Emote1 oder $Emote2 gedrückt und wähle mit $Movement2 oder $Movement1 die gewünschte Animation aus.<BR>Du kannst $Action1 oder $Action2 drücken, um zu miauen, wenn dein Mund leer ist.<BR>Halte die Taste gedrückt, um zu schnurren.,Você pode fazer animações fofas quando quiser.<BR>Segure $Emote1 ou $Emote2 e use $Movement2 ou $Movement1 para escolher a animação.<BR>Você pode pressionar $Action1 ou $Action2 para miar sempre que sua boca estiver vazia.<BR>Segure o botão para ronronar.,你可以随时做出可爱的动作。<BR>按住$Emote1或$Emote2，并使用$Movement2或$Movement1选择动作。<BR>当你的嘴是空的时，可以按$Action1或$Action2发出喵叫。<BR>按住按钮可以发出呼噜声。
help_emotes_title,Эмоции,Emotes,Emotes kreieren,Fazer emotes,情绪表达
help_fastTravel_title,Платформы быстрого перемещения,Plateformes de déplacement rapide,Plattformen zur schnellen Fortbewegung,Plataformas de Viagem Rápida,快速旅行平台
help_fastTravelPlatformsBody,"Встань на эти платформы,<br>чтобы их активировать.<br>Парные платформы требуют разделённых котов.",Tiens-toi sur ces plateformes<br>pour les activer.<br>Les paires de plateformes nécessitent des chats divisés.,Stell dich auf diese Plattformen<br>, um sie zu aktivieren.<br>Für Plattformpaare brauchst du geteilte Katzen.,Fique em cima dessas plataformas<br>para ativá-las.<br>Pares de plataformas exigem gatas divididas.,站在平台上即可激活它们。<br>一对平台需要分体状态的猫。
help_forceCollapse,"У тебя новая способность — <B>Принудительное схлопывание</B>.<BR>Когда ты разделён, слей обоих котов<BR>одновременно, чтобы схлопнуться в центре.",Tu as un nouveau pouvoir - <B>Réduction du paquet d'onde</B>.<BR>Quand tu es en mode Division, réduis le paquet d'onde des deux chats pour ramener leurs deux états au centre.,Du hast eine neue Fähigkeit - <B>Zusammenziehen erzwingen</B>.<BR>Wenn du geteilt bist, verschmelze beide Katzen<BR>gleichzeitig, um dich zur Mitte hin zusammenzuziehen.,Você ganhou um novo poder - <B>Colapso Forçado</B>.<BR>Quando estiver dividida, faça a fusão das duas gatas<BR>ao mesmo tempo para colapsar até o centro.,你获得了新能力：<B>强制坍缩</B>。<BR>当你处于分体状态时，同时让两只猫融合<BR>即可向中心坍缩。
help_forceCollapseExtra,"Схлопнуться в центре можно, только если:<br>1) Нет препятствий<br>2) Под тобой нет большого обрыва<br>Если тебя видят, ты схлопнешься<br>к наблюдаемому коту, а не в центр.",Tu ne peux réduire le paquet d'onde des deux chats que si :<br>1) Il n’y a aucun obstacle entre les deux<br>2) Ils ne se trouvent pas au-dessus d’un vide<br>Si quelqu’un observe l’un des deux chats, la réduction s’effectuera en direction de ce chat plutôt qu'au centre.,Du kannst dich nur zur Mitte hin zusammenziehen, wenn:<br>1) kein Hindernis im Weg ist<br>2) sich kein tiefer Abgrund darunter befindet<br>Wenn du beobachtet wirst, ziehst du dich<br>zur beobachteten Katze hin und nicht in die Mitte.,Você só pode colapsar até o centro se:<br>1) Não houver obstrução<br>2) Não for acima de uma queda longa<br>Se estiver sendo observada, você colapsará<br>para a gata observada em vez do centro.,只有在以下情况下才能向中心坍缩：<br>1）没有障碍物<br>2）下方不是高空坠落<br>如果被观察到，你将坍缩到被观察的那只猫，而不是中心。
help_forceCollapseHint,"Схлопни свою суперпозицию, чтобы сбежать.<BR>Нажми обе кнопки <B>Слияния</B> одновременно.<BR>Включи «Автоматизировать парные взаимодействия» в настройках доступности, чтобы хватало одной кнопки.",Réduisez votre superposition pour vous échapper.<BR>Appuyez simultanément sur les deux boutons <B>Fuse</B>.<BR>Activez « Automatiser les interactions jumelées » dans les paramètres d’accessibilité pour n’avoir besoin que d’un seul bouton.,Löse deine Superposition auf, um zu entkommen.<BR>Drücke gleichzeitig beide <B>Verschmelzen</B>-Tasten.<BR>Aktiviere in den Einstellungen für Barrierefreiheit die Option „Gekoppelte Interaktionen automatisieren“, damit nur eine Taste benötigt wird.,Colapse sua sobreposição para escapar.<BR>Pressione os dois botões de <B>Fundir</B> ao mesmo tempo.<BR>Ative "Automatizar Interações Pareadas" nas Configurações de Acessibilidade para precisar apertar apenas um botão.,坍缩你的叠加态以逃脱。<BR>同时按下两个<B>Fuse</B>按钮。<BR>在辅助功能设置中启用“自动配对交互”，即可只需一个按钮。
help_fuse_coop_title,Слияние (кооп),Fusion (Coopération),Verschmelzung (Koop),Fusão (modo cooperativo),正在合体（合作模式）
help_fuse_generic,(Удерживать) Слияние,(Maintenir) Fusion,(Halten) Verschmelzen,(Segurar) Fundir,（按住）合体
help_fuse_request,Попроси напарника слиться,Demander à ton partenaire de fusionner,Sag deinem Partner, dass du mit seiner Katze verschmelzen willst,Pedir ao seu parceiro para fundir,要求伙伴合体
help_fuse_subtext,"Когда ты разделён, удерживай $Quantum1 или $Quantum2, чтобы другой кот подошёл и, по возможности, слился с этим котом.",Quand tu es divisé, maintiens enfoncé $Quantum1 ou $Quantum2 pour que l'autre chat se rapproche et, si possible, fusionne avec lui.,Wenn du geteilt bist, drücke und halte $Quantum1 oder $Quantum2, damit die andere Katze auf diese Katze zubewegt und, wenn möglich, mit ihr verschmolzen wird.,Quando estiver dividida, pressione e segure $Quantum1 ou $Quantum2 para fazer a outra gata se mover em sua direção e, se possível, fundir-se a ela.,分体时，按住$Quantum1或$Quantum2，可让另一只猫向你移动，并在条件允许时合体。
help_fuse_subtext_coop,"Когда вы разделены, удерживай $Quantum1, чтобы подойти и слиться с напарником.<BR>Удерживай $Quantum2, чтобы попросить напарника слиться с тобой.",Quand tu es divisé, maintiens la touche $Quantum1 enfoncée pour te rapprocher de ton partenaire et fusionner avec lui. <BR>Appuies et maintiens $Quantum2 pour demander à ton partenaire de fusionner avec toi.,Wenn du geteilt bist, drücke und halte $Quantum1, um auf deinen Partner zuzugehen und mit ihm zu verschmelzen.<BR>Drücke und halte $Quantum2, um deinen Partner zu bitten, mit dir zu verschmelzen.,Quando estiver dividida, pressione e segure $Quantum1 para se mover e fundir com seu parceiro.<BR>Pressione e segure $Quantum2 para solicitar que seu parceiro se funda a você.,分体时，按住$Quantum1向同伴移动并与其合体。<BR>按住$Quantum2请求同伴与你合体。
help_fuse_title,Слияние,Fusion,Verschmelzung,Fusão,正在合体
help_fuse_ToCat1,(Удерживать) Слиться с Котом 1,(Maintenir) Fusion avec Chat 1,(Halten) Mit Katze 1 verschmelzen,(Segurar) Fundir com Gata 1,（按住）合体至猫咪1
help_fuse_ToCat2,(Удерживать) Слиться с Котом 2,(Maintenir) Fusion avec Chat 2,(Halten) Mit Katze 2 verschmelzen,(Segurar) Fundir com Gata 2,（按住）合体至猫咪2
help_fuse_toTwin,(Удерживать) Слиться с близнецом,(Maintenir) Fusion avec ton jumeau,(Halten) Mit deinem Zwilling verschmelzen,(Segurar) Fundir-se com sua cópia,（按住）与分身合体
help_fuse_whensplit,В разделённом состоянии...,Lorsque divisé,Beim Teilen...,Quando dividida...,在分体时……
help_fuseCatsCoOp,"Удерживай $Quantum1, чтобы слить игрока 1 с игроком 2",Appuie et maintiens $Quantum1 pour fusionner le joueur 1 au joueur 2,Halte $Quantum1 gedrückt, um Spieler 1 mit Spieler 2 zu verschmelzen.,Pressione e segure $Quantum1 para fundir o jogador 1 com o jogador 2,按住$Quantum1将玩家1与玩家2合体。
help_fuseCatsSinglePlayer,"Удерживай $Quantum1 или $Quantum2, чтобы свести котов вместе и снова слиться в одного",Appuie et maintiens $Quantum1 ou $Quantum2 pour rassembler les chats et les fusionner en un seul chat,Halte $Quantum1 oder $Quantum2 gedrückt, um die Katzen zusammenzuführen und wieder zu einer einzigen Katze zu verschmelzen.,Pressione e segure $Quantum1 ou $Quantum2 para aproximar as gatas e fundir novamente em uma única gata,按住$Quantum1或$Quantum2，将两只猫拉到一起并重新合体为一只猫
help_gameComplete_noDlc,"<B><size=160%>ИГРА ПРОЙДЕНА!</size></B><BR>Ты можешь свободно перемещаться по объекту через главный лифт.<BR>Если снова зайдёшь в $espionageDepartment, сможешь пройти финал ещё раз.<BR>Возвращайся скорее — будут бонусные головоломки!",<B><size=160%>PARTIE TERMINÉE !</size></B><BR>Tu peux te déplacer normalement dans l'installation en utilisant l'ascenseur principal.<BR>Si tu rentres dans le Département d’espionnage, tu pourras rejouer la finale comme avant.<BR>Reviens vite pour des énigmes bonus supplémentaires !,<B><size=160%>SPIEL BEENDET!</size></B><BR>Du kannst dich wie gewohnt mit dem Hauptaufzug in der Anlage bewegen.<BR>Wenn du die $espionageDepartment erneut betrittst, kannst du das Finale wie vorher noch einmal durchspielen.<BR>Schau bald wieder vorbei, um einige zusätzliche Bonusrätsel zu lösen!,<B><size=160%>JOGO CONCLUÍDO!</size></B><BR>Você pode se locomover pela instalação normalmente usando o elevador principal.<BR>Se você entrar novamente no $espionageDepartment, poderá jogar a fase final outra vez como antes.<BR>Volte em breve para alguns puzzles bônus!,<B><size=160%>游戏完成！</size></B><BR>你可以使用主电梯在设施内自由移动。<BR>如果重新进入$espionageDepartment，你可以像之前一样再次体验最终关卡。<BR>敬请期待后续的额外谜题！
help_gameComplete_withDlc,"<B><size=160%>ИГРА ПРОЙДЕНА!</size></B><BR>Ты можешь свободно перемещаться по объекту через главный лифт.<BR>Если снова зайдёшь в $espionageDepartment, сможешь пройти финал ещё раз.<BR>Открылась новая зона — $experimentalDepartment! Используй главный лифт, чтобы её исследовать!",<B><size=160%>PARTIE TERMINÉE !</size></B><BR>Tu peux te déplacer normalement dans l'installation en utilisant l'ascenseur principal.<BR>Si tu rentres dans le Département d’espionnage, tu pourras rejouer la finale comme avant.<BR>Une nouvelle zone s'est ouverte - $experimentalDepartment! Utilise l'ascenseur principal pour explorer !,<B><size=160%>SPIEL BEENDET!</size></B><BR>Du kannst dich wie gewohnt mit dem Hauptaufzug in der Anlage bewegen.<BR>Wenn du die $espionageDepartment erneut betrittst, kannst du das Finale wie vorher noch einmal durchspielen.<BR>Ein neuer Bereich wurde freigeschaltet – $experimentalDepartment! Nimm den Hauptaufzug, um die Umgebung zu erkunden!,<B><size=160%>JOGO CONCLUÍDO!</size></B><BR>Você pode se locomover pela instalação normalmente usando o elevador principal.<BR>Se você entrar novamente no $espionageDepartment, poderá jogar a fase final outra vez como antes.<BR>Uma nova área foi aberta - $experimentalDepartment! Use o elevador principal para explorar!,<B><size=160%>游戏完成！</size></B><BR>你可以使用主电梯在设施内自由移动。<BR>如果重新进入$espionageDepartment，你可以像之前一样再次体验最终关卡。<BR>新区域已开放：$experimentalDepartment！ 乘坐主电梯探索周边吧！
help_hacking_1,Разомни лапки!,Fais travailler tes pattes !,Pfoten bewegen!,Flexione essas patinhas!,伸展你的小爪子吧！
help_hacking_codex,"Открой Кодекс, чтобы читать документы",Ouvre le Codex pour lire les documents,Kodex öffnen, um Dokumente zu lesen,Abrir o Codex para ler documentos,打开图鉴阅读文档
help_hacking_disableTapping,Геймплей с нажатиями можно отключить в настройках доступности,Tu peux désactiver le jeu par tapotement dans les paramètres d'accessibilité,Du kannst das Tipp-Gameplay in den Barrierefreiheitseinstellungen deaktivieren,Você pode desativar a mecânica de toques repetitivos em Configurações de Acessibilidade,你可以在辅助功能设置中禁用点击玩法
help_hacking_moveAway,"Отойди, чтобы прекратить взлом",Éloigne-toi pour arrêter le piratage,Geh weg, um das Hacken zu stoppen.,Afaste-se para parar de hackear,远离即可停止侵入
help_hacking_tap,"Жми чаще, чтобы взламывать быстрее",Appuie pour pirater plus rapidement,Tippen, um schneller zu hacken,Toque para hackear mais rápido,点击以更快侵入
help_hacking_title,Взлом,Piratage,Hacken,Hackear,正在侵入
help_hfield_1,"Поля Гейзенберга не пропустят тебя, если ты разделён.",Les champs de Heisenberg ne te laisseront pas passer si tu es divisé.,Heisenberg-Felder lassen dich nicht vorbei, wenn du geteilt bist.,Os campos de Heisenberg não permitem que você passe se estiver dividido.,分体时无法通过海森堡力场。
help_hfield_qlocked,"Если разделённый кот попадёт в поле Гейзенберга, он окажется <I>квантово заблокирован</I>.<BR>Чтобы освободить кота, нужно отключить поле.",Si un chat divisé se fait prendre dans un champ de Heisenberg, il se <I>verrouillera quantiquement</I>. <BR>Tu dois désactiver le champ pour libérer le chat verrouillé.,Wenn eine geteilte Katze in einem Heisenberg-Feld gefangen bleibt, wird sie <I>quantengebunden.</I><BR>Du musst das Feld deaktivieren, um die eingesperrte Katze zu befreien.,Se uma gata dividida ficar presa em um campo de Heisenberg, ela ficará <I>bloqueada quanticamente</I>.<BR>Você deve desativar o campo para libertar a gata bloqueada.,分体的猫咪如果被困在海森堡力场中，将进入<I>量子锁定</I>状态。<BR>只有关闭力场，才能解救困住的猫咪。
help_hfields_title,Поля Гейзенберга,Champs de Heisenberg,Heisenberg-Felder,Campos de Heisenberg,海森堡场
help_hints_1,"В головоломке ты можешь попросить<BR>подсказку, удерживая кнопку «Подсказка».<BR>В мире появятся значки, которые<BR>подтолкнут тебя к решению.",Lorsque tu es face à une énigme, maintiens le bouton « Indice » enfoncé pour obtenir un indice. Des icônes apparaîtront dans le monde pour te guider vers la solution.,Wenn du dich in einem Rätsel befindest, kannst du <BR>durch Gedrückthalten der Hinweistaste einen Tipp<BR> anfordern. Dadurch werden Symbole in der Welt angezeigt, die <BR>dich der Lösung näherbringen.,Quando estiver em um puzzle, você pode pedir<BR>uma dica segurando o botão de Dica.<BR>Isso mostrará ícones no cenário que<BR>o guiarão para a solução.,解谜时，你可以按住<BR>提示按钮获取提示。<BR>世界中会出现图标，<BR>引导你逐步找到答案。
help_hints_title,Подсказки к головоломкам,Indices pour l’Énigme,Rätselhinweise,Dicas de Puzzle,谜题提示
help_items_bothPlaces,Ты держишь его в обоих местах!,Tiens le aux deux endroits !,Du hast es an beiden Orten!,Segure nos dois lugares!,你在两处同时持有此物！
help_items_otherCat,Брось или используй другим котом,Dépose ou utilise avec un autre chat,Loslassen oder mit einer anderen Katze verwenden,Solte ou use com outra gata,放下或交给另一只猫使用
help_items_pickUp,Подними одним котом,Ramasse avec un chat,Mit einer Katze aufheben,Pegue com uma gata,用其中一只猫拾取
help_items_subtext,"Когда ты разделён, ты всё ещё тот же кот — просто в двух разных местах.<BR>Поэтому, поднимая предмет, ты держишь его сразу в обоих местах.<BR>Каждый принтер создаёт лишь один предмет. Перепечать уничтожает предыдущий.",Lorsque tu es divisé, tu es toujours le même chat, mais à deux endroits différents. <BR>Ainsi, quand tu ramasses un objet, tu l’as aux deux endroits en même temps. <BR>Chaque imprimante ne crée qu'un seul objet. La réimpression d'un objet détruit le précédent.,Wenn du geteilt bist, bist du immer noch dieselbe Katze – nur an zwei verschiedenen Orten.<BR>Wenn du also einen Gegenstand aufhebst, hast du ihn an beiden Orten gleichzeitig.<BR>Jeder Drucker erzeugt nur einen Gegenstand. Beim erneuten Drucken eines Gegenstands wird der vorherige Gegenstand zerstört.,Quando você está dividida, você ainda é a mesma gata - apenas em dois lugares diferentes.<BR>Por isso, quando pega um item, você segura o item em ambos os locais ao mesmo tempo.<BR>Cada impressora cria apenas um item. Reimprimir um item destrói o item anterior.,分体时，你还是同一只猫——只是同时存在于两个不同的位置。<BR>因此，当你拾取一个物品时，你会在两个位置同时持有该物品。<BR>每台打印机会只生成一个物品。重新打印物品会销毁之前的物品。
help_items_title,Предметы,Objets,Gegenstände,Itens,物品
help_itemSharingDrawbacks,"Когда ты разделён, если один близнец<BR>не может держать предмет —<BR>например, удерживает рычаг —<BR>другой не сможет ничего поднять.",Quand tu es en Division, s'il n'est pas <BR>possible pour l'un des jumeaux de tenir un objet, <BR>par exemple si ce jumeau utilise un interrupteur à levier, <BR>l'autre jumeau ne pourra pas ramasser.,Wenn du geteilt bist und es einem der Zwillinge nicht <BR>möglich ist, einen Gegenstand festzuhalten - <BR>wenn dieser Zwilling zum Beispiel einen Hebelschalter bedient - <BR>kann der andere Zwilling den Gegenstand nicht aufheben.,Quando você estiver dividida, se não for<BR>possível para uma das gatas segurar um item,<BR>como quando essa gata estiver usando uma alavanca,<BR>a outra gata não conseguirá pegar o item.,处于分体状态时，如果其中一只猫无法持有物品，（比如正在操作拉杆），<BR>那么另一只猫也无法拾取物品。
help_itemSpawners,3D-принтеры создают<br>самые разные предметы<br>по нажатию кнопки.<br>Одновременно может существовать<br>лишь один предмет на принтер.,Les imprimantes 3D créeront <br>une variété d'objets<br> sur simple pression d'un bouton. <br>Un seul objet peut exister<br> par imprimante à la fois.,3D-Drucker stellen<br>auf Knopfdruck<br>eine Vielzahl von Gegenständen her.<br>Pro Drucker kann jedoch immer nur ein Gegenstand<br>gleichzeitig existieren.,Impressoras 3D criarão<br>uma variedade de itens<br>ao toque de um botão.<br>Apenas um item pode existir<br>por impressora de cada vez.,3D打印机会在按下按钮时生成<br>各种物品。<br>每台打印机一次只能有<br>一个物品。
help_jump_subtext,"Когда ты можешь прыгнуть, появятся одна или две иконки лапы.<BR>Если рядом обрыв или стена, продолжай движение в ту сторону — последует прыжок. Если препятствия нет, удерживай $Jump1 / $Jump2, чтобы начать подготовку к прыжку.<BR>Удерживая кнопку прыжка, используй $Movement1 / $Movement2, чтобы переключаться между двумя целями прыжка или снимать выбор, если цель одна.<BR>Отпусти кнопку, чтобы прыгнуть.",Lorsque tu es capable de sauter, tu verras apparaître une ou deux icônes de patte. <BR>Si tu es à côté d'une descente ou d'un mur, tu peux continuer à te déplacer dans cette direction pour faire un saut. S'il n'y a pas d'obstacle, tu dois maintenir $Jump1/$Jump2 enfoncé à te préparer à sauter. <BR>Tout en maintenant le bouton de saut enfoncé, utilise $Movement1 / $Movement2 pour passer d'une destination de saut à l'autre, ou déselectionner s'il n'y a qu'une seule sélection. <BR>Relâche le bouton pour sauter.,Wenn du springen kannst, siehst du ein oder zwei Pfotensymbole.<BR>Wenn du neben einem Abgrund oder einer Wand bist, kannst du in diese Richtung weitergehen, um einen Sprung auszulösen. Wenn kein Hindernis vorhanden ist, musst du $Jump1 / $Jump2 halten, um mit der Vorbereitung auf den Sprung zu beginnen.<BR>Während du die Springtaste gedrückt hältst, verwende $Movement1 / $Movement2, um zwischen zwei Sprungzielen zu wechseln, oder deaktiviere sie, wenn es nur eine Ziel gibt.<BR>Lass die Taste los, um zu springen.,Quando você puder pular, verá um ou dois ícones de pata.<BR>Se estiver perto de uma queda ou de uma parede, você pode continuar se movendo nessa direção para pular. Se não houver obstáculo, segure $Jump1 / $Jump2 para começar a preparar para pular.<BR>Enquanto segura o botão de pulo, use $Movement1 / $Movement2 para alternar entre dois destinos de salto, ou desmarque se houver apenas uma seleção.<BR>Solte o botão para pular.,当你可以跳跃时，会看到一个或两个爪子图标。<BR>如果你靠近边缘或墙壁，继续朝该方向移动即可跳跃。 如果没有障碍物，你需要按住$Jump1/$Jump2来开始蓄力跳跃。<BR>按住跳跃按钮时，使用$Movement1/$Movement2在两个跳跃目标之间切换，若只有一个目标则可取消选择。<BR>松开按钮即可跳跃。
help_jumping_overhangs_title,Прыжки на выступы,Sauter Vers les Surplombs,Springen zu Überhängen,Pular para bordas,跳向悬出平台
help_jumping_title,Прыжки,Sauter,Springen,Pular,跳跃
help_jumpOverhangs_faceEdge,Встань лицом к краю,Se tenir debout face au bord,Steh mit dem Gesicht zur Kante hin,Fique de frente para a borda,面向边缘站立
